google.com,Search Engines,,
root-servers.net,Technology,,
googleapis.com,Information Technology,Content Servers,
apple.com,Information Technology,Technology,
gstatic.com,Content Servers,,
facebook.com,Social Networks,,
microsoft.com,Information Technology,Business,
tiktokcdn.com,Content Servers,Social Networks,
amazonaws.com,Technology,,
cloudflare.com,Technology,,
googlevideo.com,Search Engines,Video Streaming,
fbcdn.net,Social Networks,,
doubleclick.net,Advertisements,,
whatsapp.net,Instant Messengers,Internet Phone & VOIP,
youtube.com,Video Streaming,,
apple-dns.net,Content Servers,,
icloud.com,File Sharing,Content Servers,
akadns.net,Content Servers,,
googleusercontent.com,Content Servers,,
instagram.com,Social Networks,,
amazon.com,Ecommerce,,
akamai.net,Content Servers,,
googlesyndication.com,Search Engines,Advertisements,
tiktokv.com,Social Networks,Video Streaming,
cloudfront.net,Content Servers,Science,Technology
live.com,Technology,Webmail,
cloudflare-dns.com,Content Servers,,
gvt2.com,Content Servers,,
akamaiedge.net,Content Servers,,
ntp.org,Technology,Government,
aaplimg.com,Information Technology,Content Servers,Technology
cdn77.org,Content Servers,,
cdninstagram.com,Content Servers,,
bing.com,Search Engines,,
tiktokcdn-eu.com,Content Servers,,
ytimg.com,Content Servers,,
netflix.com,Movies,Video Streaming,
spotify.com,Audio Streaming,,
office.com,Technology,,
yahoo.com,News & Media,,
gvt1.com,Content Servers,,
googleadservices.com,Advertisements,,
google-analytics.com,Business,Technology,
bytefcdn-oversea.com,Content Servers,,
snapchat.com,Social Networks,,
samsung.com,Home & Garden,Technology,
dns.google,Information Technology,,
digicert.com,Information Security,,
amazon-adsystem.com,Advertisements,,
twitter.com,Social Networks,,
app-measurement.com,APIs,,
one.one,Information Technology,,
unity3d.com,Gaming,Technology,
app-analytics-services.com,Content Servers,,
criteo.com,Business,,
msftncsi.com,Content Servers,,
ui.com,Technology,,
googletagmanager.com,Content Servers,,
ttlivecdn.com,Content Servers,,
fastly.net,Information Security,Information Technology,Technology
azure.com,Technology,,
trafficmanager.net,Information Technology,Content Servers,
applovin.com,Business,Technology,
bytefcdn-ttpeu.com,Content Servers,,
msn.com,News & Media,,
steamserver.net,Content Servers,,
ggpht.com,Content Servers,,
skype.com,Instant Messengers,Internet Phone & VOIP,
rocket-cdn.com,Content Servers,,
appsflyersdk.com,Content Servers,APIs,
rubiconproject.com,Advertisements,,
linkedin.com,Professional Networking,,
baidu.com,Search Engines,,
adnxs.com,Content Servers,,
microsoftonline.com,Technology,,
windows.net,Technology,,
wikipedia.org,Education,,
doubleverify.com,Business,Technology,
office.net,Content Servers,,
roblox.com,Gaming,Safe for Kids,
taboola.com,Business,Advertisements,
tiktokcdn-us.com,Content Servers,,
windows.com,Information Technology,,
sentry.io,Business,,
office365.com,Technology,,
gmail.com,Webmail,,
xiaomi.com,Technology,,
casalemedia.com,Business,Technology,
3gppnetwork.org,Content Servers,,
android.com,Technology,,
sharepoint.com,File Sharing,Technology,
cdn-apple.com,Content Servers,,
qq.com,News & Media,,
windowsupdate.com,Information Technology,Business,
pubmatic.com,Business,Technology,
2mdn.net,Content Servers,,
whatsapp.com,Instant Messengers,Internet Phone & VOIP,
miui.com,Technology,,
a2z.com,Content Servers,,
crashlytics.com,Information Technology,,
